id,word,normalized,part_of_speech,english_definition,nepali_definition,dialect,source,verified,needs_review,extraction_method
bea342e3-f5db-4234-a015-7c8981e49b88,Abela,abela,unknown,"Abel, Aber [<Nep. 3lir~ abel",,Unknown,"Opgenort 2004, p.591",False,True,digital
17a6c354-964f-44ed-a428-01d09a0d7254,ACAi,acai,unknown,n untouc,,Unknown,"Opgenort 2004, p.591",False,True,digital
423021b6-e46a-4835-84fe-63f111d88ecb,ACAmbA,acamba,unknown,ACAllllllA [<Nep. 3[qTif ac,,Unknown,"Opgenort 2004, p.591",False,True,digital
ab3c2a65-16a9-4845-8b68-5975c8ed098e,ACatlAk,acatlak,unknown,: adv,,Unknown,"Opgenort 2004, p.591",False,True,digital
700eca14-a38a-49b1-86a6-7f102cc4be85,Acana,acana,unknown,n block,,Unknown,"Opgenort 2004, p.591",False,True,digital
41810a5a-c1e1-4494-8287-5eca0df4f640,Lit,lit,unknown,"22 ~ acana, 22 ~ acano",,Unknown,"Opgenort 2004, p.591",False,True,digital
2657703b-bb8f-4ce7-946a-6d1f5e952d25,Acar,acar,unknown,n spicy cond,,Unknown,"Opgenort 2004, p.591",False,True,digital
f1e81181-c8cd-48f1-a53c-020f3dec716b,stop,stop,unknown,halt. Nep. 3fSR1 aQ.aunu. L,,Unknown,"Opgenort 2004, p.591",False,True,digital
9d1783d3-c8da-4d2f-9086-d82594e8cf35,Agacij,agacij,unknown,adv in fr,,Unknown,"Opgenort 2004, p.591",False,True,digital
3543734e-21e2-4375-b27d-a1e7630c2f64,AgendAr,agendar,unknown,n,,Unknown,"Opgenort 2004, p.591",False,True,digital
2274f8b9-7cd1-460a-8f71-0ab83838e84c,'god','god',unknown,] n the name of a Wambul,,Unknown,"Opgenort 2004, p.591",False,True,digital
72ecce4f-02f9-464a-a160-d39d6ea5a517,has,has,to,be sacrificed,,Unknown,"Opgenort 2004, p.591",False,True,digital
61a7f04f-78ca-430f-b37e-16b59a02feea,AhA,aha,unknown,adv no,,Unknown,"Opgenort 2004, p.591",False,True,digital
90191cbf-506a-4484-9c42-0f11e2ad3896,Ai,ai,unknown,3 interj marker to express disappro,,Unknown,"Opgenort 2004, p.591",False,True,digital
ca4e1257-a895-402d-a054-0cf9a71bd424,Aina,aina,unknown,"n mirror, win",,Unknown,"Opgenort 2004, p.591",False,True,digital
